buyer,tender title,tender description ,tender category,postal_town,administrative_area_level_2,administrative_area_level_1,country
hampshire county council,"Commercial Waste Collection, Disposal and Recycling Services -","Hampshire County Council invites applications from suitably experienced organisations who wish to be considered for selection to tender for the Framework Agreement for Commercial Waste Collection, Disposal, Reuse and Recycling Services across agreed waste streams for the Core Authorities of Hampshire County Council, Hampshire Constabulary/Office of the Police & Crime Commissioner and Hampshire & Isle of Wight Fire & Rescue Authority.  
      Other Contracting Authorities including local authorities in and around Hampshire and IOW, Schools, Academies and colleges, and third sector entities may use the Framework.
      
      The Framework will commence on 3rd June 2024 and will be for a period of four years.
      
      Interested parties should register their interest in the project via the In-Tend website https://in-tendhost.co.uk/hampshire, and complete and submit the tender return document together with any supporting information requested by 14.00 hrs on Tuesday 7th November 2023.  
      
      How to obtain the Tender Documents
      The Tender documents can be accessed when logged into In-Tend by selecting 'View Details' on the relevant tender advert and clicking the 'Express Interest' tab. Once in the tender there are five tabs - 'Tender', 'ITT - documents', 'Correspondence', 'Clarifications' and 'History'. Select the 2nd tab (ITT - documents) where you will find useful information under 'Tender Details' continue to scroll down to the heading 'Tender Documents Received' where you will be able to view / download the documents.
      
      Please download all the documents and read very carefully.
      
      Opting In and Opting Out
      Please note you are required to 'Opt In' before you can access the 'My tender Return' to start populating your response. 
      
      PLEASE NOTE you are required to 'Opt In' to view & complete the two Questionnaires for this project. 
      
      The 'Opt Out' functionality will also be available throughout the duration of the tender process. Opting out will give y",Refuse disposal and treatment,Winchester,Hampshire,England,United Kingdom
hampshire county council,Framework Agreement for the Supply of Folding Furniture,"Hampshire County Council invites applications from suitably experienced organisations who wish to be considered for selection to tender for the Supply of Folding Furniture, including tables, benches and chairs. The framework will commence on 1st March 2024 and will be for a period of four years. Interested parties should register their interest in the project via the In-tend website. 
https://intendhost.co.uk/hampshire and complete and submit the stage 1 questionnaire, stage 2 questionnaire, pricing schedule annex 2 together with any supporting information by 14.00 on 31st October 2023.","Tables, cupboards, desk and bookcases",Winchester,Hampshire,England,United Kingdom
hampshire county council,Provision of Home Energy Efficiency Advice and Associated  Support Services: Hitting the Cold Spots,"The Hitting the Cold Spots (HTCS) Service aims to support Hampshire residents to efficiently and effectively keep their homes at a healthy temperature all year round.
Living in a cold home or warm home can have a significant negative impact on a person's health. Cold homes:
•  Cause cardiovascular and respiratory illnesses 
•  Affect mental health and well being  
• Aggravate existing health conditions (including diabetes, types of ulcers and musculoskeletal pains)  
•  Increase the risk of falls among the elderly     
•  Are a key cause of EWDs    
Those most affected by living in a cold home are young children, older people and those with pre-existing health problems.  3.2 There were 13,400 EWDs in England and Wales in 2021/2022 most of which occurred in people aged 75 and over. Research suggests that deaths from cardiovascular disease in England were 22.9% higher in winter months than the average for other times for the year.",Consultative engineering and construction services,Winchester,Hampshire,England,United Kingdom
hampshire county council,Unit 1 Alchorne Place Roofing Repair Works 2023 - Portsmouth,"Hampshire County Council on behalf of The Office of the Police and Crime Commissioner for Hampshire invites applications from suitably experienced organisations who wish to be considered for selection to tender for Unit 1 Alchorne Place Roofing Repair Works 2023 - Portsmouth. 
      
      The Contract will commence on 04 December 2023 and will be for a period of 1 month and 23 days.
      
      Interested parties should register their interest in the project via the In-Tend website https://in-tendhost.co.uk/hampshire, and complete and submit the tender return document together with any supporting information requested by 14:00 hrs on Monday 23 October 2023.  
      
      How to obtain the Tender Documents
      The Tender documents can be accessed when logged into In-Tend by selecting 'View Details' on the relevant tender advert and clicking the 'Express Interest' tab. Once in the tender there are five tabs - 'Tender', 'ITT - documents', 'Correspondence', 'Clarifications' and 'History'. Select the 2nd tab (ITT - documents) where you will find useful information under 'Tender Details' continue to scroll down to the heading 'Tender Documents Received' where you will be able to view / download the documents.
      
      Please download all the documents and read very carefully.
      
      Opting In and Opting Out
      Please note you are required to 'Opt In' before you can access the 'My tender Return' to start populating your response. 
      
      PLEASE NOTE you are required to 'Opt In' to view & complete the Questionnaire for this project. 
      
      The 'Opt Out' functionality will also be available throughout the duration of the tender process. Opting out will give you the option of declaring you no longer want to receive any further communication in relation to this tender along with the opportunity of providing comments and feedback for this decision.
      
      You can choose to 'Opt In' at any time during the tender process if you initially decided to 'Opt Out'.
      
      Further Guidance
",Roof works and other special trade construction works,Winchester,Hampshire,England,United Kingdom
kent county council,SC23187 - Key Street Junction Improvement Works,"Kent County Council (the Council) is the largest local authority in England covering an area of 3,500 square kilometres. It has an annual expenditure of over £1bn on goods and services and a population of 1.6m. The Council provides a wide range of personal and strategic services on behalf of its residents, operating in partnership with the NHS Kent and Medway Clinical Commissioning Group, 12 district councils, and 289 parish/town councils. KCC consists of four directorates:

 • Adult Social Care and Health;

• Children, Young People and Education;

• Growth, Environment and Transport; and

• Strategic and Corporate Services.

 This service is being commissioned on behalf of the Major Capital Programme Team which sits within the Growth, Environment and Transport directorate.

 The Key Street junction is located on the A249, to the north-east of the M2 Junction 5 heading towards the Isle of Sheppey.

 The A249 Key Street junction is a two-bridge oval shaped roundabout junction with slip roads on the southern side and connections to the A249, A2 Keycol Hill, Bobbing Hill, Sheppey Way and Chestnut Street. It serves the A2, village communities, and Sittingbourne town centre.

 Road users currently using the Key Street junction often experience high volumes of traffic, which results in significant vehicle queues and congestion. The volume of traffic at these junctions is expected to increase as a result of future growth in the surrounding area, which is set out in the local plan. KCC is proposing improvements to this junction through this project to reduce the impact of future growth, reduce congestion and address air quality issues.

 The Council has also previously procured improvement works for the adjacent Grovehurst Road Junction; works are expected to be completed by September 2024.
 
Further details can be found within the Selection Questionnaire documents.","Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork",Maidstone,Kent,England,United Kingdom
cpd - construction division,DFC 5011589 Historic Environment Division Specialist Conservation Advisory Services Framework Agreement 2023,"This Framework Agreement is for the provision of specialist conservation engineering, landscape management and masonry monument advice within the remit of the Department for Communities’ Historic Environment Division. This framework Agreement will be used to progress the Government’s wider social, economic and environmental objectives For a complete description of this procurement please refer to the Invitation to Tender (ITT) documents.",Consultative engineering and construction services,Belfast,Belfast,Northern Ireland,United Kingdom
cpd - construction division,DFC 5011589 Historic Environment Division Specialist Conservation Advisory Services Framework Agreement 2023,"This Framework Agreement is for the provision of specialist conservation engineering, landscape management and masonry monument advice within the remit of the Department for Communities’ Historic Environment Division. This framework Agreement will be used to progress the Government’s wider social, economic and environmental objectives For a complete description of this procurement please refer to the Invitation to Tender (ITT) documents.",Consultative engineering and construction services,Belfast,Belfast,Northern Ireland,United Kingdom
places for people group limited,South Rings Office Refurbishment,"Places for People wishes to enter into a contract with an experienced contractor to complete a major upgrade and refurbishment of its office at South Rings Business Park, Craven Drive, Bamber Bridge, Preston, PR5 6BZ",Other building completion work,Preston,Lancashire,England,United Kingdom
places for people group limited,Places for People Electrical Testing and Repairs,"Places for People wishes to establish a framework agreement for a 3-year duration with an option to extend for two further 1 year periods. Contractors are invited to apply for up to sixteen regional lots across Scotland and Central, North East, North West, South East and South West England for electrical works and services as defined by the NUTS and CPV. Projects for other regional frameworks have been advertised separately. The Planned & Responsive Works framework is intended to provide electrical services across Places for People's affordable housing stock, and to any third party organisations to whom PFP has an agreement (or may enter into such an agreement during the term) to provide such services.",Repair and maintenance services of electrical and mechanical building installations,Preston,Lancashire,England,United Kingdom
places for people group limited,Places for People Electrical Testing and Repairs,"Places for People wishes to establish a framework agreement for a 3-year duration with an option to extend for two further 1 year periods. Contractors are invited to apply for up to sixteen regional lots across Scotland and Central, North East, North West, South East and South West England for electrical works and services as defined by the NUTS and CPV. Projects for other regional frameworks have been advertised separately. The Planned & Responsive Works framework is intended to provide electrical services across Places for People’s affordable housing stock, and to any third party organisations to whom PFP has an agreement (or may enter into such an agreement during the term) to provide such services.",Repair and maintenance services of electrical and mechanical building installations,Preston,Lancashire,England,United Kingdom
birmingham city council,Sexual Health Treatment and Prevention Services,Birmingham City Council wishes to establish a Contract for the provision of Sexual Health Treatment and Prevention Services. The Services will be for Birmingham City Council and Solihull Metropolitan Borough Council. Elements of service delivery are tailored to be able to meet the differing requirements of each geographical area. The delivery model of the Sexual Health Treatment and Prevention Service is a place based fully integrated system delivered by a Lead Provider with sub-contracting arrangements. The Contract will last for 4 years (unless terminated under the terms and conditions of contract) with the provision to extend for up to an additional 2 years subject to requirements and satisfactory performance.The contract will be awarded to 1 Lead Provider.,Social services,Birmingham,West Midlands,England,United Kingdom
birmingham city council,Sexual Health Treatment and Prevention Services,Birmingham City Council wishes to establish a Contract for the provision of Sexual Health Treatment and Prevention Services. The Services will be for Birmingham City Council and Solihull Metropolitan Borough Council. Elements of service delivery are tailored to be able to meet the differing requirements of each geographical area. The delivery model of the Sexual Health Treatment and Prevention Service is a place based fully integrated system delivered by a Lead Provider with sub-contracting arrangements. The Contract will last for 4 years (unless terminated under the terms and conditions of contract) with the provision to extend for up to an additional 2 years subject to requirements and satisfactory performance.The contract will be awarded to 1 Lead Provider.,Social services,Birmingham,West Midlands,England,United Kingdom
birmingham city council,Sexual Health Treatment and Prevention Services,Birmingham City Council wishes to establish a Contract for the provision of Sexual Health Treatment and Prevention Services. The Services will be for Birmingham City Council and Solihull Metropolitan Borough Council. Elements of service delivery are tailored to be able to meet the differing requirements of each geographical area. The delivery model of the Sexual Health Treatment and Prevention Service is a place based fully integrated system delivered by a Lead Provider with sub-contracting arrangements. The Contract will last for 4 years (unless terminated under the terms and conditions of contract) with the provision to extend for up to an additional 2 years subject to requirements and satisfactory performance.The contract will be awarded to 1 Lead Provider.,Social services,Birmingham,West Midlands,England,United Kingdom
birmingham city council,Sexual Health Treatment and Prevention Services,Birmingham City Council wishes to establish a Contract for the provision of Sexual Health Treatment and Prevention Services. The Services will be for Birmingham City Council and Solihull Metropolitan Borough Council. Elements of service delivery are tailored to be able to meet the differing requirements of each geographical area. The delivery model of the Sexual Health Treatment and Prevention Service is a place based fully integrated system delivered by a Lead Provider with sub-contracting arrangements. The Contract will last for 4 years (unless terminated under the terms and conditions of contract) with the provision to extend for up to an additional 2 years subject to requirements and satisfactory performance.The contract will be awarded to 1 Lead Provider.,Social services,Birmingham,West Midlands,England,United Kingdom
birmingham city council,Sexual Health Treatment and Prevention Services,Birmingham City Council wishes to establish a Contract for the provision of Sexual Health Treatment and Prevention Services. The Services will be for Birmingham City Council and Solihull Metropolitan Borough Council. Elements of service delivery are tailored to be able to meet the differing requirements of each geographical area. The delivery model of the Sexual Health Treatment and Prevention Service is a place based fully integrated system delivered by a Lead Provider with sub-contracting arrangements. The Contract will last for 4 years (unless terminated under the terms and conditions of contract) with the provision to extend for up to an additional 2 years subject to requirements and satisfactory performance.The contract will be awarded to 1 Lead Provider.,Social services,Birmingham,West Midlands,England,United Kingdom
thanet district council,Supply and Installation of Vertical Transportation at the Royal Harbour Car Park Ramsgate Kent,"The Royal Harbour Car Park is a small multi storey building with 5 levels of parking available and accommodates 394 spaces (including 22 disabled bays and 8 Parent and Child bays). Currently vertical transportation is provided by 2 elevator cars and a staircase. The elevator cars and operating equipment have reached the end of their effective life and need removing and replacing with new. Thanet District Council requires a suitable contractor to carry out these works
                                                              
The Contract is anticipated to commence upon January 2024 for a duration of 35 weeks, including off site manufacture unless terminated in accordance with the Conditions of the Contract. The contract period will exclude Public Holidays and Christmas period closures of both the Council and appointed contractor, agreed upon contract award.

Important Information: All procurement documents are attached to the notice and available for suppliers to download from the Kent Business Portal (www.kentbusinessportal.org.uk) and complete according to instructions contained.
                             
The procurement process will be undertaken on the basis of formal quotations. Evaluation will be on the basis of criteria and methodology as set out in the Invitation to Tender document. 

Any clarifications or questions must be submitted via the Message area of the Kent Business Portal by no later than 14.00hrs on 10 October 2023.

Completed tender documents must be submitted electronically via the Kent Business Portal by no later than 14.00hrs on 20 October 2023.",Lifting and handling equipment,Margate,Kent,England,United Kingdom
isle of wight council,Housing Management and Maintenance Services,"The Isle of Wight Council (""the Authority"") invites Tenders from suitably qualified suppliers (""Potential Suppliers"") enter into a framework agreement to provide Housing Management and Maintenance Services.

This tender is for the provision of housing management, intensive housing management and maintenance services, including tenancy, rent collection, arrears management, and maintenance for both day to day, voids and planned works which need to be carried out during the contract period. It requires a 24/7 service 365 days a year call centre service for tenants so that both tenancy and repairs can be dealt with. 

Isle of Wight Town and Parish Councils are eligible to use this framework and may create their own Call-Off Contracts. This is at the discretion of the Town Council or Parish Council, who may or may not require this service. No guarantee can be made as to the usage of this framework by others.

Other small Community Led Housing Organisations operating on the Isle of Wight may wish to use the services provided from this Framework but not as named organisations. It is not currently possible to name them or identify a volume that might be purchased. In the event that this is the case then the Isle of Wight Council reserves the right to procure and contract manage on behalf of those organisations.

The successful bidder is required to be registered with the Regulator of Social Housing.

Additional information: 
The estimated value set out in this contract notice is the total value for the initial term and the possible extension option(s).

The contract start and end date listed in this contract notice is for the full potential duration of the contract including possible extension option(s). The initial term of this contract is three years with the option to extend for a further two, at the sole discretion of the Authority.",Property management services of real estate on a fee or contract basis,Newport,Isle of Wight,England,United Kingdom
isle of wight council,Housing Management and Maintenance Services,"The Isle of Wight Council (“the Authority”) invites Tenders from suitably qualified suppliers (“Potential Suppliers”) enter into a framework agreement to provide Housing Management and Maintenance Services. This tender is for the provision of housing management, intensive housing management and maintenance services, including tenancy, rent collection, arrears management, and maintenance for both day to day, voids and planned works  which need to be carried out during the contract period.  It requires a 24/7 service 365 days a year call centre service for tenants so that both tenancy and repairs can be dealt with. Isle of Wight Town and Parish Councils are eligible to use this framework and may create their own Call-Off Contracts. This is at the discretion of the Town Council or Parish Council, who may or may not require this service. No guarantee can be made as to the usage of this framework by others.Other small Community Led Housing Organisations operating on the Isle of Wight may wish to use the services provided from this Framework but not as named organisations. It is not currently possible to name them or identify a volume that might be purchased. In the event that this is the case then the Isle of Wight Council reserves the right to procure and contract manage on behalf of those organisations.The successful bidder is required to be registered with the Regulator of Social Housing.",Property management services of real estate on a fee or contract basis,Newport,Isle of Wight,England,United Kingdom
